name,gradient,width,visibility,guardrail,surface,elevation,curve_count,lighting,vehicle_type,weather,effective_visibility,vehicle_score,safety_class
Wonosobo - Kejajar,7.828518476459622,6.0,8,1,aspal,1200,5,1,motorcycle,cerah,8.004194957777793,0.6,0
Wonosobo - Kejajar,7.098226141409601,6.0,8,1,aspal,1200,5,1,motorcycle,mendung,6.435966042362583,0.6,0
Wonosobo - Kejajar,7.347050844067109,6.0,8,1,aspal,1200,5,1,motorcycle,hujan,4.004168337281324,0.6,0
Wonosobo - Kejajar,7.877936062346687,6.0,8,1,aspal,1200,5,1,motorcycle,kabut,2.5429115534169258,0.6,0
Wonosobo - Kejajar,7.246958003579058,6.0,8,1,aspal,1200,5,1,car,cerah,8.282751116059814,0.8,0
Wonosobo - Kejajar,8.995827437803865,6.0,8,1,aspal,1200,5,1,car,mendung,6.382274140646698,0.8,0
Wonosobo - Kejajar,8.166647406540264,6.0,8,1,aspal,1200,5,1,car,hujan,3.6923608645766817,0.8,0
Wonosobo - Kejajar,7.298488638070598,6.0,8,1,aspal,1200,5,1,car,kabut,2.035983230203423,0.8,0
Wonosobo - Kejajar,7.513579318722737,6.0,8,1,aspal,1200,5,1,bus,cerah,7.947269599929724,0.4,0
Wonosobo - Kejajar,8.145151387427886,6.0,8,1,aspal,1200,5,1,bus,mendung,6.420205822956499,0.4,0
Wonosobo - Kejajar,8.991346624006148,6.0,8,1,aspal,1200,5,1,bus,hujan,3.894175589788395,0.4,0
Wonosobo - Kejajar,8.207629075907308,6.0,8,1,aspal,1200,5,1,bus,kabut,2.986709670904127,0.4,0
Kejajar - Dieng Kulon,11.82935405465891,5.5,7,1,aspal,1600,8,1,motorcycle,cerah,6.967532846557374,0.6,1
Kejajar - Dieng Kulon,12.101459849090547,5.5,7,1,aspal,1600,8,1,motorcycle,mendung,5.67918043085129,0.6,1
Kejajar - Dieng Kulon,12.025029934679893,5.5,7,1,aspal,1600,8,1,motorcycle,hujan,3.4940794468164365,0.6,1
Kejajar - Dieng Kulon,11.158347464464502,5.5,7,1,aspal,1600,8,1,motorcycle,kabut,1.575886335612433,0.6,1
Kejajar - Dieng Kulon,11.097939025873632,5.5,7,1,aspal,1600,8,1,car,cerah,7.087363734603102,0.8,1
Kejajar - Dieng Kulon,12.347870650124896,5.5,7,1,aspal,1600,8,1,car,mendung,6.164890915115476,0.8,1
Kejajar - Dieng Kulon,12.31290269062186,5.5,7,1,aspal,1600,8,1,car,hujan,3.764995861771787,0.8,1
Kejajar - Dieng Kulon,12.75380638242495,5.5,7,1,aspal,1600,8,1,car,kabut,2.6254356181660663,0.8,1
Kejajar - Dieng Kulon,12.424537122471298,5.5,7,1,aspal,1600,8,1,bus,cerah,7.456717283303929,0.4,1
Kejajar - Dieng Kulon,12.206241382795849,5.5,7,1,aspal,1600,8,1,bus,mendung,5.603420854824371,0.4,1
Kejajar - Dieng Kulon,12.505738669909585,5.5,7,1,aspal,1600,8,1,bus,hujan,2.898266278445494,0.4,1
Kejajar - Dieng Kulon,12.172402303314266,5.5,7,1,aspal,1600,8,1,bus,kabut,2.2416469204750626,0.4,1
Dieng Kulon - Kawah Sikidang,5.109567113184662,5.0,6,1,aspal,2060,3,1,motorcycle,cerah,6.1145644720878325,0.6,0
Dieng Kulon - Kawah Sikidang,4.747720192416441,5.0,6,1,aspal,2060,3,1,motorcycle,mendung,4.973653817243033,0.6,0
Dieng Kulon - Kawah Sikidang,4.971247007209534,5.0,6,1,aspal,2060,3,1,motorcycle,hujan,3.295558823718774,0.6,0
Dieng Kulon - Kawah Sikidang,5.394550798589172,5.0,6,1,aspal,2060,3,1,motorcycle,kabut,1.7014450998491986,0.6,0
Dieng Kulon - Kawah Sikidang,4.225839235921455,5.0,6,1,aspal,2060,3,1,car,cerah,5.94008545589942,0.8,0
Dieng Kulon - Kawah Sikidang,5.4621807486236,5.0,6,1,aspal,2060,3,1,car,mendung,4.846723873428803,0.8,0
Dieng Kulon - Kawah Sikidang,4.562515512201097,5.0,6,1,aspal,2060,3,1,car,hujan,2.41529433492458,0.8,0
