user_id,activity_id,activity_name,activity_type,activity_location,cost,duration,priority_score,physical_level,weather_sensitive,user_budget,budget_level,travel_style,vehicle,interest_match,vehicle_compatible,rating,budget_encoded,style_encoded,vehicle_encoded,type_encoded,physical_encoded
1,sikunir_sunrise,Sunrise Bukit Sikunir,attraction,"Bukit Sikunir, Sembungan",25000,3.5,95,medium,1,2000000,high,couple,car,2,1,5.0,0,0,1,0,2
1,prau_trekking,Trekking Gunung Prau,attraction,Gunung Prau (2.565 mdpl),50000,6.0,85,hard,1,2000000,high,couple,car,2,1,4.77,0,0,1,0,1
1,telaga_warna,Telaga Warna & Pengilon,attraction,Dieng Wetan,10000,2.0,90,easy,0,2000000,high,couple,car,2,1,5.0,0,0,1,0,0
1,batu_ratapan_angin,Batu Ratapan Angin,attraction,Dieng Plateau,5000,1.5,80,easy,0,2000000,high,couple,car,2,1,5.0,0,0,1,0,0
1,kawah_sikidang,Kawah Sikidang,attraction,Dieng Wetan,15000,1.5,88,easy,0,2000000,high,couple,car,1,1,4.64,0,0,1,0,0
1,kawah_sileri,Kawah Sileri,attraction,Kepakisan,10000,1.5,70,easy,0,2000000,high,couple,car,1,1,3.91,0,0,1,0,0
1,kawah_candradimuka,Kawah Candradimuka,attraction,Dieng Wetan,5000,1.0,65,easy,0,2000000,high,couple,car,2,1,3.69,0,0,1,0,0
1,candi_arjuna,Kompleks Candi Arjuna,attraction,Dieng Kulon,20000,2.0,92,easy,0,2000000,high,couple,car,1,1,4.08,0,0,1,0,0
1,museum_kailasa,Museum Kailasa Dieng,attraction,Dieng Kulon,5000,1.0,60,easy,0,2000000,high,couple,car,0,1,3.53,0,0,1,0,0
1,dieng_theater,Dieng Plateau Theater,attraction,Dieng Kulon,15000,1.0,55,easy,0,2000000,high,couple,car,0,1,2.9,0,0,1,0,0
1,agrowisata_tambi,Kebun Teh Tambi,attraction,"Kejajar, Wonosobo",10000,2.5,75,easy,0,2000000,high,couple,car,2,1,5.0,0,0,1,0,0
1,desa_sembungan,Desa Sembungan,attraction,Sembungan (desa tertinggi Jawa),0,2.0,70,easy,0,2000000,high,couple,car,2,1,4.41,0,0,1,0,0
1,telaga_menjer,Telaga Menjer,attraction,"Garung, Wonosobo",15000,2.0,68,easy,0,2000000,high,couple,car,2,1,4.77,0,0,1,0,0
1,curug_sikarim,Air Terjun Sikarim,attraction,Sembungan,5000,2.5,72,medium,1,2000000,high,couple,car,2,0,4.18,0,0,1,0,2
1,telaga_cebong,Telaga Cebong,attraction,Sembungan,5000,1.5,60,easy,0,2000000,high,couple,car,2,1,4.88,0,0,1,0,0
1,mie_ongklok,Makan Mie Ongklok Khas Wonosobo,food,Wonosobo / Dieng,15000,1.0,85,easy,0,2000000,high,couple,car,0,1,3.7,0,0,1,1,0
1,carica,Berburu Carica & Oleh-oleh,food,Pusat Dieng / Wonosobo,30000,1.0,65,easy,0,2000000,high,couple,car,0,1,3.32,0,0,1,1,0
1,kopi_dieng,Ngopi di Warung Kopi Dieng,food,Dieng Kulon,10000,1.0,60,easy,0,2000000,high,couple,car,0,1,3.17,0,0,1,1,0
1,pemandian_kalianget,Pemandian Air Panas Kalianget,attraction,Wonosobo,15000,2.0,70,easy,0,2000000,high,couple,car,0,1,2.91,0,0,1,0,0
1,gua_jaran,Gua Jaran,attraction,Dieng Kulon,5000,1.0,62,medium,0,2000000,high,couple,car,1,1,3.96,0,0,1,0,2
1,gardu_pandang,Gardu Pandang Tieng,attraction,Dieng Plateau,10000,1.0,68,easy,0,2000000,high,couple,car,2,1,5.0,0,0,1,0,0
1,sumur_jalatunda,Sumur Jalatunda,attraction,Dieng Kulon,5000,0.5,58,easy,0,2000000,high,couple,car,0,1,4.23,0,0,1,0,0
1,pasar_wonosobo,Pasar Tradisional Wonosobo,attraction,Wonosobo,0,1.5,60,easy,0,2000000,high,couple,car,0,1,2.52,0,0,1,0,0
1,candi_gatotkaca,Candi Gatotkaca,attraction,Dieng Kulon,10000,1.0,75,easy,0,2000000,high,couple,car,1,1,3.8,0,0,1,0,0
1,candi_bima,Candi Bima,attraction,Dieng Kulon,10000,1.0,73,easy,0,2000000,high,couple,car,0,1,4.02,0,0,1,0,0
1,telaga_dringo,Telaga Dringo,attraction,Dieng Kulon,5000,1.0,63,easy,0,2000000,high,couple,car,2,1,4.87,0,0,1,0,0
1,camping_sikunir,Camping Ground Sikunir,attraction,Sembungan,25000,12.0,78,medium,1,2000000,high,couple,car,1,1,4.41,0,0,1,0,2
1,sunrise_pangonan,Sunrise Bukit Pangonan,attraction,Dieng Kulon,10000,2.5,82,easy,1,2000000,high,couple,car,2,1,4.97,0,0,1,0,0
1,homestay_experience,Homestay Experience di Desa Sembungan,hotel,Sembungan,100000,12.0,80,easy,0,2000000,high,couple,car,0,1,3.65,0,0,1,2,0
1,jamu_tradisional,Minum Jamu Tradisional Dieng,food,Dieng Kulon,5000,0.5,55,easy,0,2000000,high,couple,car,0,1,3.02,0,0,1,1,0
1,tahu_tempe_dieng,Wisata Kuliner Tahu & Tempe Dieng,food,Dieng Kulon,20000,1.0,65,easy,0,2000000,high,couple,car,0,1,3.92,0,0,1,1,0
1,kentang_bakar,Kentang Bakar Pinggir Jalan,food,Dieng Plateau,10000,0.5,67,easy,0,2000000,high,couple,car,0,1,3.83,0,0,1,1,0
1,soto_dieng,Soto Khas Dieng,food,Dieng Kulon,18000,1.0,70,easy,0,2000000,high,couple,car,0,1,3.44,0,0,1,1,0
1,ladang_kentang,Foto di Ladang Kentang Dieng,attraction,Sembungan,5000,1.0,72,easy,0,2000000,high,couple,car,2,1,4.32,0,0,1,0,0
1,workshop_batik,Workshop Batik Dieng,attraction,Dieng Kulon,50000,2.0,68,easy,0,2000000,high,couple,car,0,1,3.79,0,0,1,0,0
1,embung_kledung,Embung Kledung,attraction,"Kledung, Wonosobo",5000,2.0,75,easy,0,2000000,high,couple,car,2,1,4.19,0,0,1,0,0
1,waduk_wadaslintang,Waduk Wadaslintang,attraction,Wonosobo,10000,2.5,73,easy,0,2000000,high,couple,car,2,1,4.74,0,0,1,0,0
1,curug_pitu,Curug Pitu (7 Air Terjun),attraction,"Garung, Wonosobo",15000,3.0,78,medium,1,2000000,high,couple,car,2,1,4.24,0,0,1,0,2
1,curug_lawe,Air Terjun Curug Lawe,attraction,Wonosobo,10000,2.0,71,medium,1,2000000,high,couple,car,1,1,5.0,0,0,1,0,2
1,kebun_strawberry,Kebun Strawberry Wonosobo,attraction,Kejajar,30000,1.5,76,easy,0,2000000,high,couple,car,0,1,3.43,0,0,1,0,0
1,puncak_suroloyo,Puncak Suroloyo,attraction,Kulon Progo (dekat Wonosobo),10000,3.0,80,medium,1,2000000,high,couple,car,2,1,4.55,0,0,1,0,2
1,alun_alun_wonosobo,Alun-alun Wonosobo,attraction,Pusat Kota Wonosobo,0,1.5,68,easy,0,2000000,high,couple,car,0,1,2.98,0,0,1,0,0
1,kampung_batik_wonosobo,Kampung Batik Wonosobo,attraction,Wonosobo,0,2.0,66,easy,0,2000000,high,couple,car,0,1,3.26,0,0,1,0,0
1,desa_kalilembu,Desa Wisata Kalilembu,attraction,"Kalilembu, Wonosobo",25000,2.5,70,easy,0,2000000,high,couple,car,0,1,3.74,0,0,1,0,0
1,sentra_bambu,Sentra Kerajinan Bambu,attraction,Wonosobo,0,1.0,62,easy,0,2000000,high,couple,car,0,1,2.87,0,0,1,0,0
1,pasar_malam_wonosobo,Pasar Malam Wonosobo,attraction,Wonosobo,50000,2.0,69,easy,0,2000000,high,couple,car,0,1,3.33,0,0,1,0,0
1,pabrik_tahu,Pabrik Tahu Baxo Wonosobo,attraction,Wonosobo,10000,1.0,64,easy,0,2000000,high,couple,car,0,1,3.54,0,0,1,0,0
1,taman_kyai_langgeng,Taman Kyai Langgeng,attraction,Magelang (dekat Wonosobo),20000,3.0,72,easy,0,2000000,high,couple,car,0,1,3.99,0,0,1,0,0
1,museum_kartini,Museum Kartini Wonosobo,attraction,Wonosobo,5000,1.0,58,easy,0,2000000,high,couple,car,0,1,2.66,0,0,1,0,0
1,kalianget_heritage,Kalianget Heritage Trail,attraction,Wonosobo,10000,1.5,65,easy,0,2000000,high,couple,car,1,1,4.32,0,0,1,0,0
1,mie_ongklok_pakdhe,Warung Mie Ongklok Pak Dhe,food,Wonosobo,15000,1.0,80,easy,0,2000000,high,couple,car,0,1,4.16,0,0,1,1,0
1,sate_kelinci,Sate Kelinci Pak Joko,food,Dieng Kulon,35000,1.0,78,easy,0,2000000,high,couple,car,0,1,3.5,0,0,1,1,0
1,pecel_lele,Pecel Lele Dieng,food,Dieng Plateau,20000,1.0,70,easy,0,2000000,high,couple,car,0,1,4.69,0,0,1,1,0
1,nasi_goreng_kambing,Nasi Goreng Kambing Wonosobo,food,Wonosobo,25000,1.0,72,easy,0,2000000,high,couple,car,0,1,3.34,0,0,1,1,0
1,ayam_geprek,Ayam Geprek Dieng,food,Dieng Kulon,18000,1.0,68,easy,0,2000000,high,couple,car,0,1,3.31,0,0,1,1,0
1,bakso_urat,Bakso Urat Wonosobo,food,Wonosobo,15000,1.0,69,easy,0,2000000,high,couple,car,0,1,3.32,0,0,1,1,0
1,sop_buntut,Sop Buntut Pak Kumis,food,Wonosobo,40000,1.0,75,easy,0,2000000,high,couple,car,0,1,2.7,0,0,1,1,0
1,gudeg_yudjum,Gudeg Yu Djum Cabang Wonosobo,food,Wonosobo,22000,1.0,71,easy,0,2000000,high,couple,car,0,1,4.07,0,0,1,1,0
1,wedang_uwuh,Wedang Uwuh Tradisional,food,Dieng Kulon,8000,0.5,67,easy,0,2000000,high,couple,car,0,1,3.8,0,0,1,1,0
1,es_dawet,Es Dawet Ayu Wonosobo,food,Wonosobo,7000,0.5,66,easy,0,2000000,high,couple,car,0,1,3.16,0,0,1,1,0
1,kopi_jos,Kopi Jos Wonosobo,food,Wonosobo,8000,0.5,73,easy,0,2000000,high,couple,car,0,1,4.06,0,0,1,1,0
1,carica_factory,Carica Original Factory Tour,food,Wonosobo,20000,1.5,74,easy,0,2000000,high,couple,car,0,1,3.1,0,0,1,1,0
1,tempe_mendoan_asli,Tempe Mendoan Asli Dieng,food,Dieng Kulon,5000,0.5,68,easy,0,2000000,high,couple,car,0,1,3.71,0,0,1,1,0
